Tipo;ID;Parent ID;Nome (EN);Nome (TH);Prezzo;Modificatore Prezzo;SKU;Descrizione (EN);Descrizione (TH);Immagine (URL);Immagine (File);Icona Categoria;Gruppo Extra Abilitati
"Categoria";"traditional-italian-pizza";"";"Traditional Italian Pizza";"พิซซ่าอิตาเลียนแบบดั้งเดิม";"";"";"";"";"";"";"";"🍕";""
"Extra";"10118";"calzone";"Gorgonzola Extra";"ชีสกอร์กอนโซล่าเพิ่ม";"50";"";"10118";"";"";"";"";"";""
"Extra";"10113";"calzone";"Ham Extra";"แฮมเพิ่ม";"50";"";"10113";"";"";"";"";"";""
"Extra";"10236";"calzone";"Hotdog Extra";"ฮอทดอกเพิ่ม";"50";"";"10236";"";"";"";"";"";""
"Extra";"10094";"calzone";"Mushrooms Extra";"เห็ดเพิ่ม";"30";"";"10094";"";"";"";"";"";""
"Extra";"10068";"calzone";"Onion/Garlic Extra";"หอมใหญ่/กระเทียมเพิ่ม";"20";"";"10068";"";"";"";"";"";""
"Extra";"10171";"calzone";"Parmesan cheese 🧀";"พาร์เมซานชีสเพิ่ม";"20";"";"10171";"";"";"";"";"";""
"Extra";"10062";"calzone";"Pesto Sauce Extra";"ซอสเพสโต้เพิ่ม";"60";"";"10062";"";"";"";"";"";""
"Extra";"10095";"calzone";"Pineapple Extra";"สับปะรดเพิ่ม";"30";"";"10095";"";"";"";"";"";""
"Extra";"10088";"calzone";"Salame Calabrese Extra";"ซาลามี่คาลาเบรียเพิ่ม";"50";"";"10088";"";"";"";"";"";""
"Extra";"10087";"calzone";"Salame Extra";"ซาลามี่เพิ่ม";"50";"";"10087";"";"";"";"";"";""
"Extra";"10086";"calzone";"Sausage Extra";"ไส้กรอกเพิ่ม";"50";"";"10086";"";"";"";"";"";""
"Extra";"10107";"calzone";"Sweet Bell Peppers Extra";"พริกหวานเพิ่ม";"50";"";"10107";"";"";"";"";"";""
"Extra";"10172";"calzone";"Tofu Extra";"เต้าหู้เพิ่ม";"50";"";"10172";"";"";"";"";"";""
"Extra";"10120";"calzone";"Tuna Extra";"ทูน่าเพิ่ม";"50";"";"10120";"";"";"";"";"";""
"Extra";"10100";"calzone";"Vegetables Extra";"ผักเพิ่ม";"50";"";"10100";"";"";"";"";"";""
"Piatto";"pizza-bismark";"traditional-italian-pizza";"PIZZA BISMARK";"พิซซ่าบิสมาร์ก";"240";"";"";"Tomato Sauce, Olive Oil, Egg, Mozzarella Cheese";"ซอสมะเขือเทศ, น้ำมันมะกอก, ไข่, ชีสมอซซาเรลล่า";"https://gjqevgkbjkharczhikcl.supabase.co/storage/v1/object/public/delivery_food/01-Pizza/05-pizza-bismark.webp";"01-Pizza/05-pizza-bismark.webp";"";"Pizza Extras"
"Variante";"10004";"pizza-bismark";"12""";"12""";"240";"0";"10004";"";"";"";"";"";""
"Variante";"10104";"pizza-bismark";"8""";"8""";"150";"-90";"10104";"";"";"";"";"";""
"Extra";"10122";"pizza-bismark";"1 Egg Extra";"ไข่ไก่เพิ่ม";"20";"";"10122";"";"";"";"";"";""
"Extra";"10285";"pizza-bismark";"Anchovies Extra";"แองโชวี่เพิ่ม";"50";"";"10285";"";"";"";"";"";""
"Extra";"10096";"pizza-bismark";"Artichoke Extra";"อาร์ติโชคเพิ่ม";"50";"";"10096";"";"";"";"";"";""
"Extra";"10111";"pizza-bismark";"Bacon Extra";"เบคอนเพิ่ม";"50";"";"10111";"";"";"";"";"";""
"Extra";"10138";"pizza-bismark";"Black Olives Extra";"มะกอกดำเพิ่ม";"40";"";"10138";"";"";"";"";"";""
"Extra";"10121";"pizza-bismark";"Capers Extra";"เคเปอร์เพิ่ม";"40";"";"10121";"";"";"";"";"";""
"Extra";"10129";"pizza-bismark";"Chicken Ham Extra";"แฮมไก่เพิ่ม";"50";"";"10129";"";"";"";"";"";""
"Extra";"10141";"pizza-bismark";"Chicken Salame Extra";"ซาลามี่ไก่เพิ่ม";"50";"";"10141";"";"";"";"";"";""
"Extra";"10102";"pizza-bismark";"Extra "" Mozzarella Cheese";"ชีสมอซซาเรลล่าเพิ่ม";"50";"";"10102";"";"";"";"";"";""
"Extra";"10191";"pizza-bismark";"Fresh Tomato Extra";"มะเขือเทศสดเพิ่ม";"20";"";"10191";"";"";"";"";"";""
"Extra";"10118";"pizza-bismark";"Gorgonzola Extra";"ชีสกอร์กอนโซล่าเพิ่ม";"50";"";"10118";"";"";"";"";"";""
"Extra";"10113";"pizza-bismark";"Ham Extra";"แฮมเพิ่ม";"50";"";"10113";"";"";"";"";"";""
"Extra";"10236";"pizza-bismark";"Hotdog Extra";"ฮอทดอกเพิ่ม";"50";"";"10236";"";"";"";"";"";""
"Extra";"10094";"pizza-bismark";"Mushrooms Extra";"เห็ดเพิ่ม";"30";"";"10094";"";"";"";"";"";""
"Extra";"10068";"pizza-bismark";"Onion/Garlic Extra";"หอมใหญ่/กระเทียมเพิ่ม";"20";"";"10068";"";"";"";"";"";""
"Extra";"10171";"pizza-bismark";"Parmesan cheese 🧀";"พาร์เมซานชีสเพิ่ม";"20";"";"10171";"";"";"";"";"";""
"Extra";"10062";"pizza-bismark";"Pesto Sauce Extra";"ซอสเพสโต้เพิ่ม";"60";"";"10062";"";"";"";"";"";""
"Extra";"10095";"pizza-bismark";"Pineapple Extra";"สับปะรดเพิ่ม";"30";"";"10095";"";"";"";"";"";""
"Extra";"10088";"pizza-bismark";"Salame Calabrese Extra";"ซาลามี่คาลาเบรียเพิ่ม";"50";"";"10088";"";"";"";"";"";""
"Extra";"10087";"pizza-bismark";"Salame Extra";"ซาลามี่เพิ่ม";"50";"";"10087";"";"";"";"";"";""
"Extra";"10086";"pizza-bismark";"Sausage Extra";"ไส้กรอกเพิ่ม";"50";"";"10086";"";"";"";"";"";""
"Extra";"10107";"pizza-bismark";"Sweet Bell Peppers Extra";"พริกหวานเพิ่ม";"50";"";"10107";"";"";"";"";"";""
"Extra";"10172";"pizza-bismark";"Tofu Extra";"เต้าหู้เพิ่ม";"50";"";"10172";"";"";"";"";"";""
"Extra";"10120";"pizza-bismark";"Tuna Extra";"ทูน่าเพิ่ม";"50";"";"10120";"";"";"";"";"";""
"Extra";"10100";"pizza-bismark";"Vegetables Extra";"ผักเพิ่ม";"50";"";"10100";"";"";"";"";"";""
"Piatto";"pizza-ham-and-cheese";"traditional-italian-pizza";"PIZZA HAM & CHEESE";"พิซซ่าแฮมและชีส";"250";"";"";"Tomato Sauce, Olive Oil, Ham, Egg, Mozzarella Cheese";"ซอสมะเขือเทศ, น้ำมันมะกอก, แฮม, ชีสมอซซาเรลล่า";"https://gjqevgkbjkharczhikcl.supabase.co/storage/v1/object/public/delivery_food/01-Pizza/06-pizza-ham-and-cheese.webp";"01-Pizza/06-pizza-ham-and-cheese.webp";"";"Pizza Extras"
"Variante";"10005";"pizza-ham-and-cheese";"12""";"12""";"250";"0";"10005";"";"";"";"";"";""
"Variante";"10110";"pizza-ham-and-cheese";"8""";"8""";"165";"-85";"10110";"";"";"";"";"";""
"Extra";"10122";"pizza-ham-and-cheese";"1 Egg Extra";"ไข่ไก่เพิ่ม";"20";"";"10122";"";"";"";"";"";""
"Extra";"10285";"pizza-ham-and-cheese";"Anchovies Extra";"แองโชวี่เพิ่ม";"50";"";"10285";"";"";"";"";"";""
"Extra";"10096";"pizza-ham-and-cheese";"Artichoke Extra";"อาร์ติโชคเพิ่ม";"50";"";"10096";"";"";"";"";"";""
"Extra";"10111";"pizza-ham-and-cheese";"Bacon Extra";"เบคอนเพิ่ม";"50";"";"10111";"";"";"";"";"";""
"Extra";"10138";"pizza-ham-and-cheese";"Black Olives Extra";"มะกอกดำเพิ่ม";"40";"";"10138";"";"";"";"";"";""
"Extra";"10121";"pizza-ham-and-cheese";"Capers Extra";"เคเปอร์เพิ่ม";"40";"";"10121";"";"";"";"";"";""
"Extra";"10129";"pizza-ham-and-cheese";"Chicken Ham Extra";"แฮมไก่เพิ่ม";"50";"";"10129";"";"";"";"";"";""
"Extra";"10141";"pizza-ham-and-cheese";"Chicken Salame Extra";"ซาลามี่ไก่เพิ่ม";"50";"";"10141";"";"";"";"";"";""
"Extra";"10102";"pizza-ham-and-cheese";"Extra "" Mozzarella Cheese";"ชีสมอซซาเรลล่าเพิ่ม";"50";"";"10102";"";"";"";"";"";""
"Extra";"10191";"pizza-ham-and-cheese";"Fresh Tomato Extra";"มะเขือเทศสดเพิ่ม";"20";"";"10191";"";"";"";"";"";""
